neuron1,neuron2,cosine_similarity
OLQVL,RMEL,0.8446197412083557
URADL,AVL,0.9355264907150201
IL2R,RMED,0.9690103836975847
RID,IL1R,0.9562197617771365
RMDL,I3,0.951542301882328
AUAL,RMED,0.9727617777121882
I1R,RIAL,0.8974890194653589
AWCL,AVL,0.9095224942830307
RMDVL,OLQDL,0.9576635332566764
MI,NSML,0.9420560228807234
AVAR,AVER,0.9492750938874039
I2R,I2L,0.9447843930591183
URADR,I1L,0.8367908023980575
FLPL,NSMR,0.971620783734022
URXR,IL2R,0.9314903999720678
SAAVL,URYDR,0.9814726111820841
SIA?L,RIVL,0.9547562961142966
CEPDL,SMBVL,0.9348395833869423
AVDL,NSML,0.9750590070867087
AIZL,NSMR,0.8111670508660207
RMFL,RMDVL,0.837605783220239
AVHL,IL1R,0.9370004582017297
URYDR,SAAVL,0.9814726111820841
CEPVR,OLQDR,0.9490399475595299
ASEL,URYDL,0.6445689964142117
I3,RMDL,0.951542301882328
M1,MI,0.8637243934280022
CEPDR,CEPVR,0.9481992083554478
RMEV,RMER,0.9934556419886676
NSMR,NSML,0.9844757054791807
SMDVL,SMDVR,0.9865706014832412
URYDL,SAAVL,0.9162320438733811
OLQDL,OLLR,0.977593038581841
RMDDR,RMDR,0.8353430289151782
IL1DL,RID,0.9453691384810071
OLQDR,OLQDL,0.9754199271336564
RMEL,RMED,0.9248950719721233
ASHL,URXL,0.9409471650607864
SMDDR,IL2L,0.915271605331036
SMBDR,SMBDL,0.943331349405228
RIVL,OLQVR,0.9883696114054871
IL2L,SMDDL,0.954438999807417
IL2DL,RIAR,0.858753637252469
AVL,AVER,0.9721924683272252
M4,AVHL,0.9029206538215745
I2L,I2R,0.9447843930591183
AWBL,SMBVL,0.8101681200673251
OLLL,OLLR,0.9588939806827634
RMED,AUAL,0.9727617777121882
IL1L,URXL,0.8809791414752863
URXL,ASHL,0.9409471650607864
IL2VR,M3L,0.9306180315769257
IL2VL,SMDVR,0.9935217001919856
RMDDL,RMEL,0.9166341605717148
M3R,M3L,0.9910468109921635
AVEL,AVER,0.9928109953746047
AIBR,AIBL,0.996145062849122
SAADR,AIBR,0.7083667051550548
AVJL,NSMR,0.9221206990057962
SMBDL,SMBDR,0.943331349405228
OLQVR,RIVL,0.9883696114054871
M3L,M3R,0.9910468109921635
SMBVL,CEPDL,0.9348395833869423
NSML,NSMR,0.9844757054791807
I1L,URADR,0.8367908023980575
IL1DR,AVHL,0.931783840200721
RMER,RMEV,0.9934556419886676
IL1R,RID,0.9562197617771365
SMDVR,IL2VL,0.9935217001919856
AIBL,AIBR,0.996145062849122
SMDDL,IL2L,0.954438999807417
RMDVR,RMFL,0.8325199892607289
URBR,SIA?L,0.8411380252963365
URBL,AWCL,0.864062060844322
AVER,AVEL,0.9928109953746047
OLLR,OLQDL,0.977593038581841
RIAL,I1R,0.8974890194653589
RIAR,I3,0.9387100121380139
RMDR,RIAR,0.8923951658893886
